ticket_id,created_at,channel,category,priority_assigned,first_response_min,resolution_min,agent_name,escalated,csat_score,agent_internal_notes
T-4816,2026-01-03 8:15,chat,Magic Import - Quality,Low,3,38,Priya M.,No,3,Handwritten notes scan came out garbled. Routed to Curation. Customer asked for ETA — I said 2-3 hours. Actual queue is now 70+ hours. I don't feel good about this.
T-4817,2026-01-03 8:44,voice,Account - Access,High,2,23,Priya M.,No,5,Password reset. Quick resolution. Voice channel works well for these.
T-4818,2026-01-03 9:10,chat,Magic Import - Error,Low,4,16,Maria S.,No,5,Image import timeout. Retry fixed it. Fourth day in a row we're seeing this pattern during morning hours. Possibly related to batch processing load?
T-4819,2026-01-03 9:30,email,Canvas - Integration,Medium,38,156,James K.,Yes,3,Customer needs Jira integration support. Our docs are outdated — still reference v1 API. I had to ping engineering in Slack to get current setup instructions. Took 2 hours to get a response. We need updated KB articles badly.
T-4820,2026-01-03 10:15,chat,Billing - Overcharge,High,5,52,Devon R.,Yes,2,"Customer charged twice for same billing period. I found the duplicate in admin portal but can't issue refunds from there — had to go to Stripe dashboard, then back to Salesforce to log it, then email Finance team for approval. Four systems to fix one billing error. Customer was furious. This has happened 3 times this month."
T-4821,2026-01-03 10:45,chat,Magic Import - Error,Low,3,14,Maria S.,No,5,Transient import failure on CSV upload. Retry resolved. I've started keeping a personal tally — this is the 23rd retry-resolved import error I've handled this week.
T-4822,2026-01-03 11:00,chat,Canvas - Performance,Low,5,9,Devon R.,No,5,Slow load time. User on older browser. Recommended Chrome update. Resolved.
T-4823,2026-01-03 11:30,email,Account - Enterprise Onboarding,High,62,340,James K.,Yes,1,"New enterprise customer (NovaTech, 500 seats) onboarding. SSO, custom domain, and data residency requirements. No runbook exists for complex onboarding. I had to coordinate across 4 Slack channels and 3 teams over 2 days. Customer's IT director said 'this is the most disorganized onboarding we've ever experienced.'"
T-4824,2026-01-03 13:00,chat,Magic Import - Quality,Low,4,45,Priya M.,No,2,"Complex flowchart PDF. AI completely mangled the connector lines and label positioning. Customer is a design lead at Meridian Health (same enterprise from T-4804). Said 'if this isn't fixed by Friday, I'm recommending we switch to Miro.' Second complaint from this account in 2 days."
T-4825,2026-01-03 14:22,chat,Canvas - Feature Request,Low,3,7,Maria S.,No,5,Wants keyboard shortcuts for alignment. Logged in feature tracker.
T-4826,2026-01-03 15:00,voice,Magic Import - Error,Medium,1,28,Priya M.,No,4,User called about repeated import failures. Talked them through it on the call — it was a file size issue (>50MB). Our error message just says 'processing failed' with no mention of size limits. User said 'your error messages are useless.' They're right.
T-4827,2026-01-03 15:45,chat,Billing - Contract,Medium,6,67,Devon R.,No,3,"Customer asking about annual vs monthly pricing for upgrade. Had to check Salesforce for their current contract, then the Google Sheet pricing matrix, then confirm with Sales in Slack. Three sources for pricing info that should be in one place."
T-4828,2026-01-03 16:30,email,Account - Cancellation,Low,88,142,James K.,No,2,"DataForge (175 seats, same account from T-4815) submitting cancellation request. Reason: 'poor support responsiveness and Magic Import quality regression.' This is the third enterprise cancellation request this month citing the same two reasons."
T-4829,2026-01-03 18:15,chat,Account - Access,High,41,195,Devon R.,Yes,1,"After-hours SSO emergency. Same pattern as T-4813 — no Tier 2 coverage after 6pm. Customer (Ridgeline Corp, 250 seats) locked out during a client presentation. Devon noted: 'This is the second after-hours SSO emergency this week. We are going to lose enterprise customers over this.'"
T-4830,2026-01-03 20:00,chat,Magic Import - Error,Low,7,17,Devon R.,No,4,"Import timeout. Retry worked. Evening shift, lighter load — still happening though. Maybe not just a load issue."
